id_product;name;price;
"417";"Winbot 730 + Wheeme";"44181.215470";
"418";"Winbot 730 + TabTop";"43297.237569";
"419";"RoboPhelps 20";"141436.464088";
"420";"RoboPhelps 25";"150276.243094";
"421";"RoboPhelps 30";"159116.022099";
"422";"Wheeme Sporty Red - Refurbished";"0.000000";
"423";"RedHawk1.0+Wheeme";"28269.613260";
"424";"SuperBot+Wheeme";"19429.834254";
"425";"Blackat 2.0 Gasket";"265.193370";
"426";"M8Pro 3GData 16GB 10.4 Quad Core - Refurbished";"0.000000";
"427";"Milagrow RedHawk2.0 - Refurbished";"0.000000";
"428";"Milagrow BlackCat2.0 - Refurbished";"0.000000";
"429";"Milagrow RoboCop 2.0 - Refurbished";"0.000000";
"430";"Milagrow CureBot - Refurbished";"0.000000";
"431";"Milagrow CloudSniper - Refurbished";"0.000000";
"432";"M2Pro 3GCall 32GB 8.4 Quad Core - Refurbished";"0.000000";
"433";"M2Pro 3GCall 16GB 8.4 Quad Core - Refurbished";"0.000000";
"434";"M2Pro 3G Call 8GB 7.4 Dual Core - Refurbished";"0.000000";
"435";"RoboNicklaus 2.0 - Refurbished";"0.000000";
"436";"RoboTiger 2.0 - Refurbished";"0.000000";
"437";"RoboTiger 1.0 - Refurbished";"0.000000";
"438";"RoboPhelps 15 - Refurbished";"0.000000";
"439";"RoboPhelps 20 - Refurbished";"0.000000";
"440";"RoboPhelps 25 - Refurbished";"0.000000";
"441";"RoboPhelps 30 - Refurbished";"0.000000";
"442";"RedHawk1.0 Refurbished ";"15018.784530";
"443";"SuperBot Refurbished";"6620.994475";
"444";"Wheeme Sporty Red Refurbished";"2643.093923";
"445";"Wheeme Cool Blue - Refurbished";"2643.093923";
"446";"M8Pro Android KitKat (v4.4.2) 3GData 16GB Quad Core";"22974.585635";
"447";"M2Pro Android KitKat (v4.4.2) 32GB 3G Call Quad Core";"19438.674033";
"448";"M8Pro 16GB + PowerBank";"26501.657459";
"449";"M8Pro 16GB +  Smart TV Dongle";"27385.635359";
"450";"M2Pro32GB + PowerBank";"22965.745856";
"451";"MPro 32GB +  Smart TV Dongle";"23849.723757";
